date,amount
6/18/2018,23.57
2/25/2019,31.84
9/13/2018,18.35
1/22/2019,14.71
12/12/2018,24.89
7/6/2018,36.39
9/17/2018,33.41
5/5/2018,6.35
7/15/2018,16.92
1/6/2019,15.94
5/3/2018,1.44
6/17/2018,13.26
8/20/2018,27.31
5/26/2018,36.67
6/3/2018,15.15
2/28/2019,24.94
7/17/2018,42.67
3/25/2019,49.43
8/8/2018,16.5
11/14/2018,0.2
10/23/2018,2.85
3/31/2019,0.33
8/31/2018,41.53
12/28/2018,48.99
3/5/2019,36.69
12/29/2018,12.67
5/19/2018,12.59
3/11/2019,22.45
4/20/2019,31.6
6/15/2018,24.26
2/18/2019,45.78
10/15/2018,28.71
1/24/2019,4.14
5/26/2018,17.75
2/11/2019,25.37
6/8/2018,15.26
9/1/2018,16.04
7/22/2018,1.59
12/25/2018,28.78
11/13/2018,26.73
1/9/2019,40.43
9/10/2018,0.4
8/29/2018,3.47
11/23/2018,14.85
4/14/2019,18.64
9/25/2018,43.82
10/5/2018,48.0
2/7/2019,39.92
8/7/2018,17.14
6/1/2018,24.68
7/23/2018,47.39
9/21/2018,36.9
11/30/2018,31.18
9/15/2018,11.07
10/3/2018,43.73
11/3/2018,40.4
4/8/2019,3.14
1/19/2019,47.76
1/8/2019,7.76
4/4/2019,28.87
10/11/2018,21.8
6/22/2018,24.65
2/7/2019,37.57
3/28/2019,23.02
5/27/2018,3.92
11/10/2018,43.93
7/6/2018,31.59
10/4/2018,39.36
11/26/2018,9.09
4/21/2019,8.61
9/19/2018,0.24
12/5/2018,4.49
3/18/2019,31.21
12/22/2018,35.63
3/27/2019,18.17
1/17/2019,44.82
11/7/2018,10.79
1/2/2019,30.61
12/7/2018,37.48
10/10/2018,30.36
9/10/2018,4.99
6/22/2018,18.85
1/9/2019,6.56
11/12/2018,13.11
1/7/2019,4.4
2/13/2019,43.33
1/31/2019,43.36
11/6/2018,35.58
12/25/2018,21.08
5/30/2018,27.05
2/19/2019,36.59
12/13/2018,21.96
5/26/2018,27.91
3/9/2019,23.05
8/8/2018,12.53
2/9/2019,44.02
10/6/2018,30.56
11/2/2018,41.38
4/10/2019,26.74
9/11/2018,4.33
2/1/2019,43.4
10/2/2018,42.53
6/9/2018,18.5
9/26/2018,47.8
2/4/2019,5.36
5/2/2018,41.25
11/4/2018,3.26
10/12/2018,49.17
2/18/2019,37.08
7/10/2018,25.92
8/23/2018,7.54
6/4/2018,20.81
1/31/2019,4.67
4/23/2019,19.63
4/7/2019,25.88
7/6/2018,38.15
7/30/2018,10.91
2/4/2019,19.88
1/17/2019,22.27
8/12/2018,2.25
6/14/2018,5.18
9/15/2018,21.21
6/12/2018,3.39
11/9/2018,0.7
11/7/2018,34.43
9/12/2018,46.33
7/26/2018,41.3
11/17/2018,45.79
12/7/2018,38.7
4/1/2019,19.76
1/13/2019,26.72
5/24/2018,39.05
10/12/2018,30.97
1/4/2019,3.26
4/9/2019,5.93
8/22/2018,11.41
11/5/2018,35.59
12/24/2018,9.44
11/2/2018,12.15
2/7/2019,37.66
1/15/2019,33.18
11/9/2018,42.32
2/3/2019,39.74
1/31/2019,5.27
7/2/2018,20.37
8/19/2018,16.67
2/23/2019,7.46
12/18/2018,42.07
5/30/2018,8.95
4/7/2019,8.04
8/3/2018,33.43
6/8/2018,10.59
12/30/2018,19.28
9/22/2018,31.42
7/11/2018,9.13
5/14/2018,45.06
2/8/2019,15.42
10/24/2018,13.92
8/20/2018,2.51
8/15/2018,45.71
1/20/2019,41.48
5/21/2018,47.38
10/9/2018,15.81
1/26/2019,49.37
10/30/2018,7.77
2/8/2019,14.98
5/15/2018,27.22
4/7/2019,28.44
9/23/2018,7.02
3/20/2019,7.11
1/24/2019,36.71
10/13/2018,16.87
12/24/2018,26.77
12/26/2018,44.64
3/12/2019,40.67
5/18/2018,21.61
10/15/2018,16.48
12/18/2018,36.54
5/31/2018,27.38
3/12/2019,20.86
10/25/2018,44.97
12/11/2018,49.28
8/9/2018,17.87
12/25/2018,39.96
5/10/2018,21.56
3/27/2019,12.15
2/13/2019,39.77
2/19/2019,48.86
9/20/2018,46.61
5/5/2018,36.28
5/27/2018,15.1
6/14/2018,44.29
12/30/2018,38.27
9/3/2018,12.17
12/27/2018,38.65
7/22/2018,6.85
2/26/2019,5.17
11/19/2018,47.93
6/6/2018,28.36
4/25/2019,43.22
5/24/2018,36.3
4/1/2019,28.71
2/3/2019,3.5
8/24/2018,18.04
4/26/2019,26.59
12/23/2018,9.01
8/20/2018,3.48
4/13/2019,24.44
9/11/2018,22.89
10/28/2018,13.93
7/3/2018,25.45
2/20/2019,10.31
8/6/2018,3.0
11/2/2018,3.11
12/22/2018,4.66
4/20/2019,49.9
8/9/2018,5.52
5/4/2018,27.95
3/30/2019,11.65
10/2/2018,3.45
7/17/2018,16.24
9/29/2018,14.74
1/31/2019,37.0
3/23/2019,1.37
9/21/2018,41.17
2/11/2019,41.33
12/20/2018,1.49
3/7/2019,30.54
9/20/2018,6.14
12/18/2018,21.41
3/27/2019,19.84
2/25/2019,0.04
7/27/2018,28.2
6/7/2018,35.42
6/19/2018,28.97
11/5/2018,44.73
2/6/2019,35.52
4/20/2019,33.52
3/6/2019,8.81
3/4/2019,26.12
6/13/2018,3.55
6/15/2018,38.1
2/26/2019,19.71
7/22/2018,35.8
1/8/2019,11.52
1/25/2019,48.29
12/15/2018,47.89
11/11/2018,9.97
8/15/2018,39.06
6/22/2018,0.63
4/17/2019,28.77
2/21/2019,45.15
11/23/2018,23.95
8/18/2018,5.52
11/14/2018,8.63
11/28/2018,47.05
2/8/2019,0.11
12/11/2018,49.44
1/14/2019,30.58
5/28/2018,2.84
11/28/2018,4.72
9/20/2018,35.31
7/3/2018,20.37
2/5/2019,36.5
1/13/2019,8.21
2/14/2019,16.21
3/9/2019,45.51
7/13/2018,21.04
8/28/2018,28.35
5/4/2018,49.77
2/4/2019,43.78
9/18/2018,6.27
3/15/2019,11.12
4/1/2019,18.93
5/21/2018,12.46
11/13/2018,39.2
11/21/2018,12.34
3/14/2019,22.18
4/2/2019,13.97
12/16/2018,37.78
1/10/2019,35.18
12/28/2018,4.75
2/13/2019,46.59
5/21/2018,45.08
7/4/2018,3.54
12/13/2018,23.03
2/2/2019,45.19
5/15/2018,16.84
7/26/2018,25.23
2/9/2019,32.19
8/13/2018,31.53
1/10/2019,23.99
8/12/2018,43.81
6/10/2018,24.17
8/15/2018,7.51
6/13/2018,41.27
5/22/2018,17.14
2/14/2019,37.08
9/8/2018,44.84
5/22/2018,23.63
5/23/2018,33.7
6/21/2018,15.75
2/28/2019,33.77
4/27/2019,17.04
12/4/2018,30.35
10/29/2018,30.6
1/28/2019,2.23
7/7/2018,5.08
12/3/2018,40.99
6/29/2018,10.69
3/8/2019,5.47
3/6/2019,8.35
4/10/2019,49.75
11/22/2018,44.42
1/10/2019,30.69
2/26/2019,2.08
11/13/2018,23.63
12/11/2018,39.57
11/18/2018,46.42
9/26/2018,36.78
10/10/2018,17.92
12/7/2018,20.57
4/3/2019,16.46
8/30/2018,21.46
2/10/2019,35.67
4/28/2019,43.41
8/25/2018,43.35
1/29/2019,27.03
8/27/2018,3.77
6/22/2018,33.49
6/20/2018,13.01
8/26/2018,15.39
10/9/2018,43.3
2/24/2019,28.27
1/25/2019,1.72
8/25/2018,32.73
12/14/2018,38.95
1/24/2019,19.35
2/19/2019,2.85
6/19/2018,42.98
3/15/2019,33.05
10/26/2018,33.49
11/11/2018,18.56
4/16/2019,8.65
1/1/2019,47.4
2/10/2019,18.18
1/15/2019,41.48
12/28/2018,38.09
11/10/2018,29.44
10/22/2018,36.37
8/31/2018,19.8
4/1/2019,13.3
4/10/2019,24.6
6/20/2018,15.55
10/15/2018,17.68
5/5/2018,9.48
1/17/2019,43.69
2/2/2019,25.52
2/13/2019,37.12
9/22/2018,11.55
3/5/2019,32.02
11/11/2018,19.52
1/24/2019,33.51
1/8/2019,44.37
10/23/2018,23.58
2/7/2019,28.89
2/20/2019,7.07
10/9/2018,3.11
3/19/2019,15.37
9/22/2018,14.48
10/15/2018,21.77
6/4/2018,26.78
8/7/2018,39.02
4/13/2019,6.07
12/5/2018,2.59
9/8/2018,49.08
3/13/2019,26.98
11/15/2018,33.41
4/27/2019,11.04
4/27/2019,0.88
8/28/2018,22.43
10/12/2018,3.06
4/29/2019,44.15
7/16/2018,37.79
6/20/2018,38.51
10/24/2018,5.0
6/18/2018,43.12
5/26/2018,2.03
7/13/2018,29.56
8/24/2018,12.0
8/24/2018,9.83
6/18/2018,5.77
8/29/2018,48.39
10/5/2018,24.84
1/11/2019,13.5
9/11/2018,42.4
11/23/2018,10.17
5/20/2018,35.46
1/20/2019,19.06
11/22/2018,19.18
8/31/2018,28.54
4/1/2019,18.63
10/6/2018,31.55
12/6/2018,49.64
12/2/2018,49.53
5/13/2018,8.47
9/17/2018,8.35
4/22/2019,40.13
5/12/2018,26.12
1/21/2019,28.49
1/25/2019,33.38
10/19/2018,18.72
8/24/2018,25.57
3/11/2019,8.98
4/4/2019,11.15
11/24/2018,36.16
7/5/2018,2.19
6/7/2018,44.76
7/10/2018,42.47
6/20/2018,15.55
3/19/2019,2.24
4/21/2019,36.28
6/1/2018,21.04
1/24/2019,23.02
6/11/2018,22.25
1/27/2019,24.83
5/20/2018,46.56
9/5/2018,12.6
5/25/2018,38.21
8/25/2018,13.13
6/2/2018,15.57
3/28/2019,13.06
12/19/2018,18.29
3/16/2019,4.8
4/14/2019,30.55
4/17/2019,22.43
6/10/2018,19.45
1/21/2019,30.74
11/12/2018,31.95
10/23/2018,31.5
1/25/2019,43.37
8/4/2018,29.7
8/14/2018,35.61
2/21/2019,8.65
10/19/2018,30.74
9/1/2018,37.98
8/31/2018,25.67
9/9/2018,46.11
1/6/2019,13.27
5/31/2018,1.63
4/19/2019,20.44
10/27/2018,40.99
11/20/2018,22.71
3/27/2019,25.69
5/25/2018,22.45
3/11/2019,23.84
7/17/2018,34.59
4/1/2019,15.57
11/22/2018,32.4
2/20/2019,31.77
7/30/2018,1.12
11/15/2018,11.99
2/16/2019,21.82
1/12/2019,43.09
12/20/2018,6.22
1/23/2019,23.13
5/20/2018,42.94
7/15/2018,48.38
5/6/2018,24.86
12/15/2018,30.34
1/27/2019,47.47
2/23/2019,7.62
5/31/2018,40.28
9/28/2018,2.14
5/4/2018,9.0
12/5/2018,18.79
1/25/2019,21.13
9/9/2018,27.76
6/4/2018,25.9
10/12/2018,49.3
10/19/2018,13.48
5/27/2018,23.94
12/26/2018,48.1
7/15/2018,33.53
7/23/2018,39.48
1/7/2019,27.62
10/22/2018,44.05
1/17/2019,46.89
4/10/2019,20.22
12/26/2018,42.08
5/21/2018,30.39
1/22/2019,8.75
4/27/2019,30.92
1/6/2019,3.51
4/2/2019,27.03
8/10/2018,11.96
7/4/2018,48.2
2/17/2019,24.97
10/10/2018,23.96
7/29/2018,20.58
12/5/2018,14.96
10/25/2018,22.88
4/18/2019,29.45
6/10/2018,26.97
3/28/2019,25.74
1/12/2019,10.43
5/11/2018,47.86
8/10/2018,26.81
5/23/2018,1.18
8/13/2018,9.79
9/27/2018,29.15
3/27/2019,14.51
2/25/2019,37.23
7/8/2018,19.42
2/11/2019,15.82
3/31/2019,26.67
11/22/2018,15.51
12/3/2018,26.95
3/21/2019,29.37
10/21/2018,3.47
6/22/2018,14.05
12/17/2018,5.89
1/12/2019,49.97
2/8/2019,31.45
11/23/2018,44.03
12/25/2018,28.61
3/16/2019,16.63
10/18/2018,7.85
8/23/2018,8.62
2/18/2019,2.45
10/8/2018,38.81
6/12/2018,26.34
1/10/2019,4.81
12/31/2018,6.54
7/1/2018,10.42
12/30/2018,36.35
4/1/2019,16.03
2/22/2019,42.19
8/31/2018,1.01
9/29/2018,7.05
1/6/2019,22.99
9/20/2018,40.71
4/3/2019,32.02
2/15/2019,15.73
4/24/2019,12.38
4/21/2019,12.49
8/31/2018,39.87
7/23/2018,33.19
7/12/2018,13.38
6/2/2018,5.56
12/14/2018,0.02
1/17/2019,2.97
5/10/2018,1.98
8/20/2018,2.51
5/8/2018,42.21
8/4/2018,15.47
4/15/2019,35.57
9/5/2018,34.58
9/9/2018,29.27
6/24/2018,15.61
3/18/2019,9.78
4/2/2019,46.74
1/12/2019,43.45
4/22/2019,14.98
2/10/2019,47.42
2/20/2019,34.19
6/29/2018,31.49
7/20/2018,16.14
5/13/2018,30.06
11/21/2018,13.65
2/20/2019,44.16
2/16/2019,3.39
2/9/2019,7.68
10/21/2018,36.74
4/29/2019,19.05
6/30/2018,15.18
5/24/2018,19.11
5/4/2018,36.34
3/7/2019,49.94
7/2/2018,14.79
10/25/2018,8.66
2/4/2019,3.49
6/29/2018,44.5
8/13/2018,36.99
6/8/2018,2.27
2/2/2019,33.05
8/21/2018,25.61
3/16/2019,19.82
9/5/2018,38.48
8/25/2018,39.49
12/22/2018,27.14
3/16/2019,22.42
2/20/2019,34.3
3/17/2019,44.61
8/14/2018,22.01
3/18/2019,32.24
10/16/2018,34.88
6/18/2018,1.76
5/11/2018,48.75
8/12/2018,35.15
9/24/2018,21.06
2/21/2019,31.66
11/22/2018,17.07
12/24/2018,26.75
1/12/2019,10.28
5/9/2018,11.17
7/17/2018,6.75
7/27/2018,7.43
12/8/2018,27.45
12/28/2018,29.51
3/9/2019,18.73
6/3/2018,22.35
12/27/2018,6.69
1/20/2019,6.75
11/12/2018,4.29
9/10/2018,15.43
5/17/2018,41.15
7/1/2018,22.68
9/24/2018,35.1
6/15/2018,38.1
12/25/2018,38.33
10/16/2018,36.72
12/20/2018,39.43
2/1/2019,36.75
11/21/2018,20.56
7/13/2018,40.94
4/20/2019,33.38
6/7/2018,41.78
12/3/2018,34.2
4/21/2019,36.22
6/7/2018,5.06
2/17/2019,8.28
9/7/2018,39.79
11/19/2018,36.62
11/2/2018,40.5
4/24/2019,15.0
12/20/2018,12.32
8/31/2018,21.49
4/28/2019,39.12
10/9/2018,19.04
7/28/2018,5.37
8/15/2018,22.94
3/26/2019,39.31
2/16/2019,19.39
10/30/2018,36.76
10/3/2018,5.21
8/25/2018,6.6
12/23/2018,41.89
6/5/2018,22.8
9/22/2018,13.05
2/27/2019,6.36
12/20/2018,38.32
10/15/2018,21.61
5/13/2018,22.01
2/17/2019,6.55
8/30/2018,25.66
3/18/2019,22.24
2/21/2019,11.11
9/30/2018,35.82
11/4/2018,47.68
3/11/2019,38.22
6/22/2018,43.61
7/3/2018,3.6
5/3/2018,13.33
12/16/2018,11.71
12/14/2018,36.43
1/26/2019,27.85
6/1/2018,39.49
4/18/2019,49.14
5/13/2018,35.68
7/13/2018,29.54
5/8/2018,28.09
7/31/2018,6.7
4/12/2019,43.76
7/14/2018,30.31
2/4/2019,3.71
6/13/2018,41.39
4/7/2019,0.32
5/22/2018,20.36
5/16/2018,35.29
3/5/2019,29.18
11/14/2018,13.69
9/16/2018,18.83
1/27/2019,25.95
12/22/2018,28.32
6/4/2018,3.34
6/24/2018,44.19
9/2/2018,28.01
9/17/2018,3.39
2/12/2019,47.13
7/15/2018,19.45
9/14/2018,29.7
2/22/2019,21.02
3/2/2019,42.35
7/10/2018,30.77
3/6/2019,48.15
11/25/2018,14.41
5/9/2018,1.57
6/5/2018,7.43
2/22/2019,30.16
3/18/2019,48.1
4/3/2019,42.27
10/19/2018,32.84
6/1/2018,0.92
6/15/2018,45.93
1/25/2019,24.42
10/20/2018,37.29
11/6/2018,28.22
5/2/2018,35.09
2/4/2019,37.97
2/15/2019,8.3
12/31/2018,17.31
8/22/2018,1.02
1/31/2019,23.43
4/26/2019,22.86
1/1/2019,18.75
1/7/2019,26.48
10/24/2018,13.91
5/3/2018,14.03
10/28/2018,29.59
10/7/2018,24.17
12/27/2018,34.08
5/14/2018,23.69
6/26/2018,5.12
10/13/2018,35.67
4/29/2019,13.5
5/4/2018,36.36
8/15/2018,20.69
6/18/2018,35.86
7/17/2018,45.12
2/2/2019,43.24
12/27/2018,48.98
12/2/2018,1.32
9/22/2018,29.61
1/3/2019,12.51
3/11/2019,2.2
2/11/2019,24.43
8/7/2018,13.28
8/20/2018,38.85
12/14/2018,19.49
2/7/2019,33.18
8/21/2018,1.7
11/20/2018,10.76
8/30/2018,8.5
11/17/2018,13.58
3/5/2019,34.28
11/28/2018,12.19
7/4/2018,10.73
9/15/2018,15.58
12/5/2018,34.83
1/6/2019,21.55
1/4/2019,5.18
2/19/2019,25.65
3/3/2019,28.21
1/12/2019,16.13
6/8/2018,12.86
12/15/2018,41.0
3/1/2019,40.08
2/19/2019,29.3
10/29/2018,12.78
10/8/2018,35.06
5/10/2018,19.95
4/26/2019,20.71
10/27/2018,39.22
2/13/2019,37.49
7/16/2018,40.46
6/3/2018,37.56
11/11/2018,35.62
12/11/2018,47.34
5/30/2018,41.63
10/19/2018,40.25
2/18/2019,12.37
9/9/2018,34.77
5/18/2018,11.91
7/5/2018,6.24
4/18/2019,41.91
11/28/2018,8.62
5/6/2018,42.62
5/1/2018,8.49
2/27/2019,38.63
1/17/2019,33.33
12/7/2018,32.16
12/26/2018,0.43
1/3/2019,31.93
5/18/2018,6.1
2/24/2019,11.91
3/9/2019,29.08
3/22/2019,38.63
5/29/2018,6.67
4/19/2019,38.28
5/17/2018,37.68
11/1/2018,10.58
11/10/2018,41.93
1/8/2019,34.79
10/13/2018,23.2
8/2/2018,38.4
8/13/2018,44.78
12/23/2018,38.07
2/19/2019,18.2
8/28/2018,14.14
2/1/2019,7.3
10/21/2018,13.93
12/9/2018,19.39
7/20/2018,47.37
8/24/2018,47.31
2/7/2019,6.58
8/23/2018,34.19
1/24/2019,34.37
9/5/2018,48.17
11/2/2018,9.26
7/21/2018,48.44
2/14/2019,48.33
8/23/2018,14.59
4/24/2019,17.8
11/29/2018,10.69
1/26/2019,27.56
7/6/2018,28.33
