ADN,Andes,Colombia,,Andes,
ADO,Andamooka,South Australia, Australia,Andamooka,
ADP,Ampara,Sri Lanka,,Ampara,
ADQ,Kodiak,Alaska, United States,Kodiak,
ADR,Andrews,South Carolina, United States,Andrews,
ADS,Dallas,Texas, United States,Dallas,
ADT,Ada,Oklahoma, United States,Ada,
ADU,Ardabil,Iran,,Ardabil,
ADV,Ed Daein,Sudan,,Ed Daein,
ADW,Camp Springs,Maryland, United States,Camp Springs,
ADX,St Andrews,Scotland, United Kingdom,St Andrews,
ADY,Alldays,South Africa,,Alldays,
ADZ,San Andres Island,Colombia,,San Andres Island,
AEA,Abemama Atoll,Kiribati,,Abemama Atoll,
AEB,Baise,Guangxi, China,Baise,
AEE,Adareil,South Sudan,,Adareil,
AEG,Padang Sidempuan,Indonesia,,Padang Sidempuan,
AEH,Abéché,Chad,,Abeche,
AEK,Aseki,Papua New Guinea,,Aseki,
AEL,Albert Lea,Minnesota, United States,Albert Lea,
AEM,Amgu,Primorsky Krai,Russia,Amgu,
AEO,Aioun el Atrouss,Mauritania,,Aioun el Atrouss,
AEP,Buenos Aires, Argentina,,Buenos Aires,
AEQ,Ar Horqin Banner, China,,Ar Horqin Banner,
AER,Sochi,Krasnodar Krai, Russia,Sochi,
AES,Alesund,Norway,,Alesund,
AET,Allakaket,Alaska, United States,Allakaket,
AEU,Abu Musa Island,Iran,,Abu Musa Island,
AEX,Alexandria,Louisiana, United States,Alexandria,
AEY,Akureyri,Iceland,,Akureyri,
AFA,San Rafael,Mendoza, Argentina,San Rafael,
AFD,Port Alfred,South Africa,,Port Alfred,
AFF,Colorado Springs,Colorado, United States,Colorado Springs,
AFI,Amalfi,Colombia,,Amalfi,
AFK,Ampara,Sri Lanka,,Ampara,
AFL,Alta Floresta,Mato Grosso, Brazil,Alta Floresta,
AFN,Jaffrey,New Hampshire, United States,Jaffrey,
AFO,Afton,Wyoming, United States,Afton,
AFR,Afore,Papua New Guinea,,Afore,
AFS,Zarafshan,Uzbekistan,,Zarafshan,
AFT,Afutara,Malaita,Solomon Islands,Afutara,
AFW,Fort Worth,Texas, United States,Fort Worth,
AFY,Afyon,Turkey,,Afyon,
AFZ,Sabzevar,Iran,,Sabzevar,
AGA,Agadir,Morocco,,Agadir,
AGB,Augsburg,Bavaria, Germany,Augsburg,
AGC,Pittsburgh,Pennsylvania, United States,Pittsburgh,
AGD,Anggi,Indonesia,,Anggi,
AGE,Wangerooge,Lower Saxony, Germany,Wangerooge,
AGF,Agen,Aquitaine, France,Agen,
AGG,Angoram,Papua New Guinea,,Angoram,
AGH,Ängelholm,Sweden,,angelholm,
AGI,Wageningen,Suriname,,Wageningen,
AGJ,Aguni,Okinawa, Japan,Aguni,
AGK,Kagua,Papua New Guinea,,Kagua,
AGL,Wanigela,Papua New Guinea,,Wanigela,
AGN,Angoon,Alaska, United States,Angoon,
AGO,Magnolia,Arkansas, United States,Magnolia,
AGP,Málaga,Andalusia, Spain,Malaga,
AGQ,Agrinion,Greece,,Agrinion,
AGR,Agra,Uttar Pradesh, India,Agra,
AGS,Augusta,Georgia, United States,Augusta,
AGT,Ciudad del Este,Paraguay,,Ciudad del Este,
AGU,Aguascalientes,Aguascalientes, Mexico,Aguascalientes,
AGV,Acarigua,Venezuela,,Acarigua,
AGW,Agnew,Queensland, Australia,Agnew,
AGX,Agatti Island,Lakshadweep, India,Agatti Island,
AGZ,Aggeneys,South Africa,,Aggeneys,
AHB,Abha,Saudi Arabia,,Abha,
AHC,Herlong,California, United States,Herlong,
AHD,Ardmore,Oklahoma, United States,Ardmore,
AHE,Ahe,Tuamotus,French Polynesia,Ahe,
AHF,Arapahoe,Nebraska, United States,Arapahoe,
AHH,Amery,Wisconsin, United States,Amery,
AHI,Amahai,Indonesia,,Amahai,
AHJ,Hongyuan,Sichuan, China,Hongyuan,
AHL,Aishalton,Guyana,,Aishalton,
AHM,Ashland,Oregon, United States,Ashland,
AHN,Athens,Georgia, United States,Athens,
AHO,Alghero,Sardinia, Italy,Alghero,
AHS,Ahuas,Honduras,,Ahuas,
AHU,Al Hoceima,Morocco,,Al Hoceima,
AHW,Saih Rawl,Oman,,Saih Rawl,
AHY,Ambatolahy,Madagascar,,Ambatolahy,
AHZ,Alpe d'Huez,Rhône-Alpes, France,Alpe d'Huez,
AIA,Alliance,Nebraska, United States,Alliance,
AIC,Airok,Ailinglaplap Atoll,Marshall Islands,Airok,
AID,Anderson,Indiana, United States,Anderson,
AIE,Aiome,Papua New Guinea,,Aiome,
AIF,Assis,São Paulo, Brazil,Assis,
AIG,Yalinga,Central African Republic,,Yalinga,
AIH,Aiambak,Papua New Guinea,,Aiambak,
AII,Ali Sabieh,Djibouti,,Ali Sabieh,
AIK,Aiken,South Carolina, United States,Aiken,
AIL,Ailigandí,Panama,,Ailigandi,
AIM,Ailuk Atoll,Marshall Islands,,Ailuk Atoll,
AIN,Fort Wainwright,Alaska, United States,Fort Wainwright,
AIO,Atlantic,Iowa, United States,Atlantic,
AIR,Aripuanã,Mato Grosso, Brazil,Aripuana,
AIS,Arorae Island,Kiribati,,Arorae Island,
AIT,Aitutaki,Cook Islands,,Aitutaki,
AIU,Atiu Island,Cook Islands,,Atiu Island,
AIV,Aliceville,Alabama, United States,Aliceville,
AIW,Ai-Ais,Namibia,,Ai-Ais,
AIY,Atlantic City,New Jersey, United States,Atlantic City,
AIZ,Lake Ozark,Missouri, United States,Lake Ozark,
AJA,Ajaccio,Corsica, France,Ajaccio,
AJF,Sakakah,Al Jawf,Saudi Arabia,Sakakah,
AJJ,Akjoujt,Mauritania,,Akjoujt,
AJK,Arak,Iran,,Arak,
AJL,Aizawl,Mizoram, India,Aizawl,
AJN,Anjouan,Comoros,,Anjouan,
AJR,Arvidsjaur,Sweden,,Arvidsjaur,
AJS,Punta Abreojos,Baja California Sur, Mexico,Punta Abreojos,
AJU,Aracaju,Sergipe, Brazil,Aracaju,
AJY,Agadez,Niger,,Agadez,
AKA,Ankang,Shaanxi, China,Ankang,
AKB,Atka,Alaska, United States,Atka,
AKC,Akron,Ohio, United States,Akron,
AKD,Akola,Maharashtra, India,Akola,
AKE,Akiéni,Gabon,,Akieni,
AKF,Kufra,Libya,,Kufra,
AKG,Anguganak,Papua New Guinea,,Anguganak,
AKH,Al-Kharj,Saudi Arabia,,Al-Kharj,
AKI,Akiak,Alaska, United States,Akiak,
AKJ,Asahikawa,Hokkaido, Japan,Asahikawa,
AKK,Akhiok,Alaska, United States,Akhiok,
AKL,Auckland,New Zealand,,Auckland,
AKM,Zakouma National Park,Chad,,Zakouma National Park,
AKN,King Salmon,Alaska, United States,King Salmon,
AKO,Akron,Colorado, United States,Akron,
AKP,Anaktuvuk Pass,Alaska, United States,Anaktuvuk Pass,
AKQ,Astraksetra,Indonesia,,Astraksetra,
AKR,Akure,Nigeria,,Akure,
AKS,Auki,Malaita,Solomon Islands,Auki,
AKT,Akrotiri,Cyprus,,Akrotiri,
AKU,Aksu,Xinjiang, China,Aksu,
AKV,Akulivik,Quebec, Canada,Akulivik,
AKW,Aghajari,Iran,,Aghajari,
AKX,Aktobe,Kazakhstan,,Aktobe,
AKY,Sittwe,Myanmar,,Sittwe,
ALA,Almaty,Kazakhstan,,Almaty,
ALB,Albany,New York, United States,Albany,
ALC,Alicante,Valencia, Spain,Alicante,
ALD,Alerta,Peru,,Alerta,
ALE,Alpine,Texas, United States,Alpine,
ALF,Alta,Norway,,Alta,
ALG,Algiers,Algeria,,Algiers,
ALH,Albany,Western Australia, Australia,Albany,
ALI,Alice,Texas, United States,Alice,
ALJ,Alexander Bay,South Africa,,Alexander Bay,
ALK,Asella,Ethiopia,,Asella,
ALL,Albenga,Liguria, Italy,Albenga,
ALM,Alamogordo,New Mexico, United States,Alamogordo,
ALN,Alton,Illinois, United States,Alton,
ALO,Waterloo,Iowa, United States,Waterloo,
ALP,Aleppo,Syria,,Aleppo,
ALQ,Alegrete,Rio Grande do Sul, Brazil,Alegrete,
ALR,Alexandra,New Zealand,,Alexandra,
ALS,Alamosa,Colorado, United States,Alamosa,
ALT,Alenquer,Pará, Brazil,Alenquer,
ALU,Alula,Somalia,,Alula,
ALW,Walla Walla,Washington, United States,Walla Walla,
ALX,Alexander City,Alabama, United States,Alexander City,
ALY,Alexandria,Egypt,,Alexandria,
ALZ,Lazy Bay,Alaska, United States,Lazy Bay,
AMA,Amarillo,Texas, United States,Amarillo,
AMB,Ambilobe,Madagascar,,Ambilobe,
AMC,Am Timan,Chad,,Am Timan,
AMD,Ahmedabad,Gujarat, India,Ahmedabad,
AME,Alto Molocue,Mozambique,,Alto Molocue,
AMF,Ama,Papua New Guinea,,Ama,
AMG,Amboin,Papua New Guinea,,Amboin,
AMH,Arba Minch,Ethiopia,,Arba Minch,
AMI,Mataram,Indonesia,,Mataram,
AMJ,Almenara,Minas Gerais, Brazil,Almenara,
AMK,Durango,Colorado, United States,Durango,
AML,Puerto Armuelles,Panama,,Puerto Armuelles,
AMM,Amman,Jordan,,Amman,
AMN,Alma,Michigan, United States,Alma,
AMO,Mao,Chad,,Mao,
AMP,Ampanihy,Madagascar,,Ampanihy,
AMQ,Ambon,Indonesia,,Ambon,
AMS,Amsterdam,Netherlands,,Amsterdam,
AMT,Amata,South Australia,Australia,Amata,
AMU,Amanab,Papua New Guinea,,Amanab,
AMV,Amderma,Nenets Autonomous Okrug, Russia,Amderma,
AMW,Ames,Iowa, United States,Ames,
AMX,Ammaroo,Northern Territory, Australia,Ammaroo,
AMY,Ambatomainty,Madagascar,,Ambatomainty,
AMZ,Ardmore,New Zealand,,Ardmore,
ANB,Anniston,Alabama, United States,Anniston,
ANC,Anchorage,Alaska, United States,Anchorage,
AND,Anderson,South Carolina, United States,Anderson,
ANE,Angers,Pays de la Loire, France,Angers,
ANF,Antofagasta,Chile,,Antofagasta,
ANG,Angoulême,Poitou-Charentes, France,Angouleme,
ANI,Aniak,Alaska, United States,Aniak,
ANJ,Zanaga,Republic of the Congo,,Zanaga,
ANK,Ankara,Turkey,,Ankara,
ANL,Andulo,Angola,,Andulo,
ANM,Antalaha,Madagascar,,Antalaha,
ANN,Annette Island,Alaska, United States,Annette Island,
ANO,Angoche,Mozambique,,Angoche,
ANP,Annapolis,Maryland, United States,Annapolis,
ANQ,Angola,Indiana, United States,Angola,
ANR,Antwerp,Belgium,,Antwerp,
ANS,Andahuaylas,Peru,,Andahuaylas,
ANU,Antigua,Antigua and Barbuda,,Antigua,
ANV,Anvik,Alaska, United States,Anvik,
ANW,Ainsworth,Nebraska, United States,Ainsworth,
ANX,Andenes,Norway,,Andenes,
ANY,Anthony,Kansas, United States,Anthony,
ANZ,Angus Downs,Northern Territory, Australia,Angus Downs,
AOA,Aroa,Papua New Guinea,,Aroa,
AOB,Annanberg,Papua New Guinea,,Annanberg,
AOC,Altenburg,Thuringia, Germany,Altenburg,
AOD,Abou-Deïa,Chad,,Abou-Deia,
AOG,Anshan,Liaoning, China,Anshan,
AOH,Lima,Ohio, United States,Lima,
AOI,Ancona,Marche, Italy,Ancona,
AOJ,Aomori,Honshu, Japan,Aomori,
AOK,Karpathos,Greece,,Karpathos,
AOL,Paso de los Libres,Corrientes, Argentina,Paso de los Libres,
AOM,Adam,Oman,,Adam,
AON,Arona,Papua New Guinea,,Arona,
AOO,Altoona,Pennsylvania, United States,Altoona,
AOP,Andoas,Peru,,Andoas,
AOR,Alor Setar,Kedah, Malaysia,Alor Setar,
AOS,Amook Bay,Alaska, United States,Amook Bay,
AOT,Aosta,Aosta Valley, Italy,Aosta,
AOU,Attapeu,Laos,,Attapeu,
APA,Denver,Colorado, United States,Denver,
APB,Apolo,Bolivia,,Apolo,
APC,Napa,California, United States,Napa,
APF,Naples,Florida, United States,Naples,
APG,Aberdeen Proving Ground,Maryland, United States,Aberdeen Proving Ground,
APH,Fort A.P. Hill,Virginia, United States,Fort AP Hill,
API,Apiay,Colombia,,Apiay,
APK,Apataki,Tuamotus,French Polynesia,Apataki,
APL,Nampula,Mozambique,,Nampula,
APN,Alpena,Michigan, United States,Alpena,
APO,Apartadó,Colombia,,Apartado,
APP,Asapa,Papua New Guinea,,Asapa,
APQ,Arapiraca,Alagoas, Brazil,Arapiraca,
APR,April River,Papua New Guinea,,April River,
APS,Anápolis,Goiás, Brazil,Anapolis,
APT,Jasper,Tennessee, United States,Jasper,
APU,Apucarana,Paraná, Brazil,Apucarana,
APV,Apple Valley,California, United States,Apple Valley,
APW,Apia,Upolu Island,Samoa,Apia,
APX,Arapongas,Paraná, Brazil,Arapongas,
APY,Alto Parnaíba,Maranhão, Brazil,Alto Parnaiba,
APZ,Zapala,Neuquén, Argentina,Zapala,
AQA,Araraquara,São Paulo, Brazil,Araraquara,
AQB,Quiché,Guatemala,,Quiche,
AQG,Anqing,Anhui, China,Anqing,
AQI,Qaisumah/Hafar Al-Batin,Saudi Arabia,,Qaisumah/Hafar Al-Batin,
AQJ,Aqaba,Jordan,,Aqaba,
AQM,Ariquemes,Rondônia, Brazil,Ariquemes,
AQP,Arequipa,Peru,,Arequipa,
AQS,Saqani,Fiji,,Saqani,
AQY,Girdwood,Alaska, United States,Girdwood,
ARA,New Iberia,Louisiana, United States,New Iberia,
ARB,Ann Arbor,Michigan, United States,Ann Arbor,
ARC,Arctic Village,Alaska, United States,Arctic Village,
ARD,Alor Island,Indonesia,,Alor Island,
ARE,Arecibo,Puerto Rico, United States,Arecibo,
ARF,Acaricuara,Colombia,,Acaricuara,
ARG,Walnut Ridge,Arkansas, United States,Walnut Ridge,
ARH,Arkhangelsk,Arkhangelsk Oblast, Russia,Arkhangelsk,
ARI,Arica,Chile,,Arica,
ARJ,Arso,Indonesia,,Arso,
ARK,Arusha,Tanzania,,Arusha,
ARL,Arly,Burkina Faso,,Arly,
ARM,Armidale,New South Wales, Australia,Armidale,
ARN,Stockholm,Sweden,,Stockholm,
ARO,Arboletes,Colombia,,Arboletes,
ARP,Aragip,Papua New Guinea,,Aragip,
ARQ,Arauquita,Colombia,,Arauquita,
ARR,Alto Río Senguer,Chubut, Argentina,Alto Rio Senguer,
ARS,Aragarças,Goiás, Brazil,Aragarcas,
ART,Watertown,New York, United States,Watertown,
ARU,Araçatuba,São Paulo, Brazil,Aracatuba,
ARV,Minocqua/Woodruff,Wisconsin, United States,Minocqua/Woodruff,
ARW,Arad,Romania,,Arad,
ARY,Ararat,Victoria, Australia,Ararat,
ARZ,N'zeto,Angola,,N'zeto,
ASA,Assab,Eritrea,,Assab,
ASB,Ashgabat,Turkmenistan,,Ashgabat,
ASC,Ascención de Guarayos,Bolivia,,Ascencion de Guarayos,
ASD,Andros Town,Andros Island,Bahamas,Andros Town,
ASE,Aspen,Colorado, United States,Aspen,
ASF,Astrakhan,Astrakhan Oblast, Russia,Astrakhan,
ASG,Ashburton,New Zealand,,Ashburton,
ASH,Nashua,New Hampshire, United States,Nashua,
ASI,Ascension Island,British Overseas TerritoryofSaint Helena, Ascension and Tristan da Cunha,Ascension Island,
ASJ,Amami,Satsunan Islands, Japan,Amami,
ASK,Yamoussoukro,Côte d'Ivoire,,Yamoussoukro,
ASL,Marshall,Texas, United States,Marshall,
ASM,Asmara,Eritrea,,Asmara,
ASN,Talladega,Alabama, United States,Talladega,
ASO,Asosa,Ethiopia,,Asosa,
ASP,Alice Springs,Northern Territory, Australia,Alice Springs,
ASQ,Austin,Nevada, United States,Austin,
ASR,Kayseri,Turkey,,Kayseri,
AST,Astoria,Oregon, United States,Astoria,
ASU,Asunción,Paraguay,,Asuncion,
ASV,Amboseli,Kenya,,Amboseli,
ASW,Aswan,Egypt,,Aswan,
ASX,Ashland,Wisconsin, United States,Ashland,
ASY,Ashley,North Dakota, United States,Ashley,
ASZ,Asirim,Papua New Guinea,,Asirim,
ATA,Huaraz,Peru,,Huaraz,
ATB,Atbara,Sudan,,Atbara,
ATC,Arthur's Town,Cat Island,Bahamas,Arthur's Town,
ATD,Atoifi,Malaita,Solomon Islands,Atoifi,
ATE,Antlers,Oklahoma, United States,Antlers,
ATF,Ambato,Ecuador,,Ambato,
ATG,Attock,Pakistan,,Attock,
ATH,Athens,Greece,,Athens,
ATI,Artigas,Uruguay,,Artigas,
ATJ,Antsirabe,Madagascar,,Antsirabe,
ATK,Atqasuk,Alaska, United States,Atqasuk,
ATL,Atlanta,Georgia, United States,Atlanta,
ATM,Altamira,Pará, Brazil,Altamira,
ATN,Namatanai,Papua New Guinea,,Namatanai,
ATO,Athens/Albany,Ohio, United States,Athens/Albany,
ATP,Aitape,Papua New Guinea,,Aitape,
ATQ,Amritsar,Punjab, India,Amritsar,
ATR,Atar,Mauritania,,Atar,
ATS,Artesia,New Mexico, United States,Artesia,
ATT,Atmautluak,Alaska, United States,Atmautluak,
ATU,Attu Island,Alaska, United States,Attu Island,
ATV,Ati,Chad,,Ati,
ATW,Appleton,Wisconsin, United States,Appleton,
ATX,Atbasar,Kazakhstan,,Atbasar,
ATY,Watertown,South Dakota, United States,Watertown,
ATZ,Assiut,Egypt,,Assiut,
AUA,Aruba,Kingdom of the Netherlands,,Aruba,
AUC,Arauca,Colombia,,Arauca,
AUD,Augustus Downs Station,Queensland, Australia,Augustus Downs Station,
AUE,Abou Redis,Egypt,,Abou Redis,
AUF,Auxerre,Burgundy, France,Auxerre,
AUG,Augusta,Maine, United States,Augusta,
AUH,Abu Dhabi,United Arab Emirates,,Abu Dhabi,
AUI,Aua Island,Papua New Guinea,,Aua Island,
AUJ,Ambunti,Papua New Guinea,,Ambunti,
AUK,Alakanuk,Alaska, United States,Alakanuk,
AUL,Aur Atoll,Marshall Islands,,Aur Atoll,
AUM,Austin,Minnesota, United States,Austin,
AUN,Auburn,California, United States,Auburn,
AUO,Auburn,Alabama, United States,Auburn,
AUP,Agaun,Papua New Guinea,,Agaun,
AUQ,Atuona,Marquesas Islands,French Polynesia,Atuona,
AUR,Aurillac,Auvergne, France,Aurillac,
AUS,Austin,Texas, United States,Austin,
AUT,Atauro Island,East Timor,,Atauro Island,
AUU,Aurukun,Queensland, Australia,Aurukun,
AUV,Aumo,Papua New Guinea,,Aumo,
AUW,Wausau,Wisconsin, United States,Wausau,
AUX,Araguaína,Tocantins, Brazil,Araguaina,
AUY,Anatom Island,Tafea,Vanuatu,Anatom Island,
AUZ,Aurora,Illinois, United States,Aurora,
AVA,Anshun,Guizhou, China,Anshun,
AVB,Aviano,Pordenone, Italy,Aviano,
AVG,Auvergne Station,Northern Territory, Australia,Auvergne Station,
AVI,Ciego de Ávila,Cuba,,Ciego de avila,
AVK,Arvaikheer,Mongolia,,Arvaikheer,
AVL,Asheville,North Carolina, United States,Asheville,
AVN,Avignon,Provence-Alpes-Côte d'Azur, France,Avignon,
AVO,Avon Park,Florida, United States,Avon Park,
AVP,Wilkes-Barre/Scranton,Pennsylvania, United States,Wilkes-Barre/Scranton,
AVU,Avu Avu,Guadalcanal,Solomon Islands,Avu Avu,
AVV,Avalon,Victoria, Australia,Avalon,
AVW,Tucson,Arizona, United States,Tucson,
AVX,Avalon,California, United States,Avalon,
AWA,Awasa,Ethiopia,,Awasa,
AWB,Awaba,Papua New Guinea,,Awaba,
AWD,Aniwa Island,Tafea,Vanuatu,Aniwa Island,
AWE,Alowe,Gabon,,Alowe,
AWK,Wake Island,United States Minor Outlying Islands,,Wake Island,
AWM,West Memphis,Arkansas, United States,West Memphis,
AWN,Alton Downs,South Australia, Australia,Alton Downs,
AWP,Austral Downs,Northern Territory, Australia,Austral Downs,
AWR,Awar,Papua New Guinea,,Awar,
AWZ,Ahvaz,Iran,,Ahvaz,
AXA,The Valley,British Overseas TerritoryofAnguilla,,The Valley,
AXB,Alexandria Bay,New York, United States,Alexandria Bay,
AXC,Aramac,Queensland, Australia,Aramac,
AXD,Alexandroupoli,Greece,,Alexandroupoli,
AXE,Xanxerê,Santa Catarina, Brazil,Xanxere,
AXF,Alxa Left Banner,Inner Mongolia, China,Alxa Left Banner,
AXG,Algona,Iowa, United States,Algona,
AXJ,Amakusa,Amakusa Islands, Japan,Amakusa,
AXK,Ataq,Yemen,,Ataq,
AXL,Alexandria Station,Northern Territory, Australia,Alexandria Station,
AXM,Armenia,Colombia,,Armenia,
AXN,Alexandria,Minnesota, United States,Alexandria,
AXP,Spring Point,Acklins Island,Bahamas,Spring Point,
AXR,Arutua,Tuamotus,French Polynesia,Arutua,
AXS,Altus,Oklahoma, United States,Altus,
AXT,Akita,Honshu, Japan,Akita,
AXU,Axum,Ethiopia,,Axum,
AXV,Wapakoneta,Ohio, United States,Wapakoneta,
AXX,Angel Fire,New Mexico, United States,Angel Fire,
AYA,Ayapel,Colombia,,Ayapel,
AYC,Ayacucho,Colombia,,Ayacucho,
AYD,Alroy Downs,Northern Territory, Australia,Alroy Downs,
AYG,Yaguara,Colombia,,Yaguara,
AYI,Yari,Colombia,,Yari,
AYK,Arkalyk,Kazakhstan,,Arkalyk,
AYL,Anthony Lagoon,Northern Territory, Australia,Anthony Lagoon,
AYM,Yas Island,Abu Dhabi,United Arab Emirates,Yas Island,
AYN,Anyang,Henan, China,Anyang,
AYO,Ayolas,Paraguay,,Ayolas,
AYP,Ayacucho,Peru,,Ayacucho,
AYQ,Yulara,Northern Territory, Australia,Yulara,
AYR,Ayr,Queensland, Australia,Ayr,
AYS,Waycross,Georgia, United States,Waycross,
AYT,Antalya,Turkey,,Antalya,
AYU,Aiyura,Papua New Guinea,,Aiyura,
AYW,Ayawasi,Indonesia,,Ayawasi,
AYY,Pottuvil,Sri Lanka,,Pottuvil,
AZA,Phoenix,Arizona, United States,Phoenix,
AZB,Amazon Bay,Papua New Guinea,,Amazon Bay,
AZD,Yazd,Iran,,Yazd,
AZG,Apatzingán,Michoacán, Mexico,Apatzingan,
AZI,Abu Dhabi,United Arab Emirates,,Abu Dhabi,
AZL,Sapezal,Mato Grosso, Brazil,Sapezal,
AZN,Andizhan,Uzbekistan,,Andizhan,
AZO,Kalamazoo,Michigan, United States,Kalamazoo,
AZP,Ciudad López Mateos,State of Mexico, Mexico,Ciudad Lopez Mateos,
AZR,Adrar,Algeria,,Adrar,
AZS,El Catey,Dominican Republic,,El Catey,
AZT,Zapatoca,Colombia,,Zapatoca,
AZZ,Ambriz,Angola,,Ambriz,
BAA,Bialla,Papua New Guinea,,Bialla,
BAB,Marysville,California, United States,Marysville,
BAC,Barranca de Upía,Colombia,,Barranca de Upia,
BAD,Bossier City,Louisiana, United States,Bossier City,
BAE,Barcelonnette,Alpes-de-Haute-Provence, France,Barcelonnette,
BAF,Westfield/Springfield,Massachusetts, United States,Westfield/Springfield,
BAG,Baguio,Philippines,,Baguio,
BAH,Manama,Bahrain,,Manama,
BAI,Buenos Aires,Costa Rica,,Buenos Aires,
BAJ,Bali,Papua New Guinea,,Bali,
BAK,Baku,Azerbaijan,,Baku,
BAL,Batman,Turkey,,Batman,
BAM,Battle Mountain,Nevada, United States,Battle Mountain,
BAN,Basongo,Democratic Republic of the Congo,,Basongo,
BAP,Baibara,Papua New Guinea,,Baibara,
BAQ,Barranquilla,Colombia,,Barranquilla,
BAR,Qionghai,Hainan, China,Qionghai,
BAS,Balalae Island,Western,Solomon Islands,Balalae Island,
BAT,Barretos,São Paulo, Brazil,Barretos,
BAV,Baotou,Inner Mongolia, China,Baotou,
BAW,Biawonque,Gabon,,Biawonque,
BAX,Barnaul,Altai Krai, Russia,Barnaul,
BAY,Baia Mare,Romania,,Baia Mare,
BAZ,Barcelos,Amazonas, Brazil,Barcelos,
BBA,Balmaceda,Chile,,Balmaceda,
BBB,Benson,Minnesota, United States,Benson,
